iter	Logloss
281	0.1039972641
282	0.1039368132
283	0.1039177532
284	0.1038378863
285	0.1038009885
286	0.1037731506
287	0.103663055
288	0.1035926577
289	0.1035386811
290	0.1035237917
291	0.1034304122
292	0.1033395579
293	0.1033324927
294	0.1032090657
295	0.1031251289
296	0.1031076203
297	0.1029777795
298	0.1029332121
299	0.1028276229
300	0.102823103
301	0.1027650766
302	0.1026724829
303	0.1026385267
304	0.1026101985
305	0.1025664773
306	0.1024754081
307	0.1023953599
308	0.1023316383
309	0.1022200652
310	0.102143966
311	0.1020879275
312	0.1020090009
313	0.1019792355
314	0.1019183011
315	0.1018571585
316	0.1017949346
317	0.1017265656
318	0.1017010447
319	0.1016419035
320	0.1015738501
321	0.1015268648
322	0.1014648626
323	0.1014151842
324	0.1013715368
325	0.1013198436
326	0.1012679087
327	0.1012242478
328	0.1011787065
329	0.1011014723
330	0.1010461928
331	0.1009956145
332	0.1009457481
333	0.1008593197
334	0.1007778611
335	0.1007378941
336	0.100657584
337	0.1006220831
338	0.1005988457
339	0.1005508933
340	0.1005172327
341	0.1004425841
342	0.1004189773
343	0.1003752225
344	0.1003316826
345	0.1002899895
346	0.1002214324
347	0.100183675
348	0.1001207056
349	0.1001002486
350	0.1000586899
351	0.100025721
352	0.09998677482
353	0.0999262165
354	0.09989359681
355	0.09986485226
356	0.09980315893
357	0.09978518016
358	0.09974595191
359	0.09972839624
360	0.09969230437
361	0.0996752524
362	0.09964041643
363	0.09962161158
364	0.09960705797
365	0.09958116102
366	0.09954582134
367	0.09951140175
368	0.09949864804
369	0.09945184412
370	0.09940421413
371	0.0993553887
372	0.09932329285
373	0.09927628745
374	0.09924429235
375	0.09919373418
376	0.09917971786
377	0.09913603017
378	0.09910523724
379	0.09909271858
380	0.09907132807
381	0.09904175745
382	0.0990263912
383	0.09899891598
384	0.09898561827
385	0.0989648322
386	0.09894545649
387	0.09892035874
388	0.09890064723
389	0.09887390405
390	0.09884814813
391	0.09882331902
392	0.09881231818
393	0.09878811366
394	0.09874836828
395	0.0987305977
396	0.09871897899
397	0.09870919375
398	0.09869077844
399	0.09867369961
400	0.09866436434
401	0.09864737282
402	0.09863842709
403	0.09862999177
404	0.09859266415
405	0.09858366469
406	0.09854421481
407	0.09850686033
408	0.09849847874
409	0.09848953301
410	0.09845534848
411	0.09841999538
412	0.0983990414
413	0.09839003523
414	0.09837576369
415	0.09835475599
416	0.09834648186
417	0.09832700541
418	0.09829675648
419	0.09827972466
420	0.09824897202
421	0.09824097996
422	0.09823280657
423	0.098220073
424	0.09820642606
425	0.09817790985
426	0.09816990436
427	0.09814214035
428	0.0981355788
429	0.09811741198
430	0.09809716319
431	0.09808998377
432	0.09808230064
433	0.09805639025
434	0.09804987572
435	0.09803076865
436	0.0980135958
437	0.09799632892
438	0.09798144623
439	0.09796863878
440	0.09796143921
441	0.09794691919
442	0.0979353945
443	0.09792879937
444	0.09791278839
445	0.0979017204
446	0.09787734126
447	0.09786577628
448	0.0978593692
449	0.09784999364
450	0.09782517124
451	0.09781830076
452	0.09780834762
453	0.09779595657
454	0.09778891819
455	0.09776643296
456	0.09774770871
457	0.09772380641
458	0.09771120045
459	0.09770009887
460	0.09769383283
461	0.09768730486
462	0.09768220069
463	0.09766940668
464	0.09764690131
465	0.09764111882
466	0.09762972845
467	0.09762093047
468	0.09761543677
469	0.09760395238
470	0.09759249486
471	0.09758707503
472	0.09757798155
473	0.09757286394
474	0.09756499277
475	0.09755311885
476	0.09753173506
477	0.09751010949
478	0.09749935043
479	0.09748866524
480	0.0974807202
481	0.09747544812
482	0.09746747621
483	0.09744911462
484	0.09742957102
485	0.09742414448
486	0.09741466818
487	0.09740882524
488	0.09739887211
489	0.09739346571
490	0.09738325737
491	0.09736481519
492	0.09734656106
493	0.09734100019
494	0.09733400211
495	0.09732710476
496	0.09732207446
497	0.09731539874
498	0.09730841408
499	0.09729099274
