iter	Logloss
0	0.6526150771
1	0.6098950346
2	0.5770537685
3	0.5428055777
4	0.5133471422
5	0.4860513177
6	0.4570574693
7	0.4339716468
8	0.4105373974
9	0.3901044281
10	0.3698434695
11	0.3528879461
12	0.3365160714
13	0.3227268273
14	0.3106043104
15	0.2966490195
16	0.285697346
17	0.275536067
18	0.2652446048
19	0.2566950892
20	0.2478572147
21	0.2414200205
22	0.2340153708
23	0.2261345286
24	0.2196580726
25	0.2152151457
26	0.2088434998
27	0.2030229031
28	0.1986826238
29	0.1935909432
30	0.1897553457
31	0.1855858548
32	0.1814801391
33	0.1781959265
34	0.1748501818
35	0.1723165915
36	0.1700083236
37	0.1674163711
38	0.1648876298
39	0.1623376927
40	0.1602597975
41	0.1580786101
42	0.1564500701
43	0.1545549849
44	0.1523267719
45	0.1508600745
46	0.1490770394
47	0.1473121912
48	0.1456841079
49	0.1441280204
50	0.142561335
51	0.1412789654
52	0.1401829787
53	0.1387811849
54	0.1374736571
55	0.1365882712
56	0.1356626161
57	0.1346336418
58	0.1336958308
59	0.1331095897
60	0.1323361061
61	0.1317159089
62	0.1309469116
63	0.1301899494
64	0.129420079
65	0.1288221386
66	0.1281222357
67	0.1277520892
68	0.1272167152
69	0.1266661899
70	0.1259554473
71	0.1254601814
72	0.1249114695
73	0.1243883858
74	0.123944296
75	0.1234968078
76	0.1231366816
77	0.1226991197
78	0.1223356086
79	0.1219896934
80	0.1216968617
81	0.1213773539
82	0.1210286315
83	0.1207029853
84	0.1203429531
85	0.1200698664
86	0.1197510572
87	0.1195137266
88	0.1191730768
89	0.1189461963
90	0.1186733112
91	0.1183946368
92	0.1181859298
93	0.1179711516
94	0.1177727874
95	0.1175583987
96	0.1173243858
97	0.1171081301
98	0.1169981486
99	0.1168243247
100	0.1166123135
101	0.1164723249
102	0.1163115434
103	0.1161088809
104	0.115956199
105	0.1157750546
106	0.1156274903
107	0.1154719877
108	0.1153778157
109	0.1153080228
110	0.1151711639
111	0.1150390329
112	0.1149026844
113	0.1147760472
114	0.1146538425
115	0.1145680522
116	0.1144379629
117	0.1143517293
118	0.1142136345
119	0.1141424582
120	0.1140583871
121	0.1139823484
122	0.1138456909
123	0.1137714655
124	0.1136696238
125	0.1135829066
126	0.1134950477
127	0.1134348319
128	0.1133792501
129	0.1133021771
130	0.1132321828
131	0.1131548546
132	0.1130403062
133	0.1129058247
134	0.1128347558
135	0.1127923509
136	0.1127170778
137	0.1126405017
138	0.1125935971
139	0.1125075112
140	0.1124382288
141	0.1123652593
142	0.1122975685
143	0.112233444
144	0.1121740408
145	0.1120818434
146	0.112028216
147	0.1118461582
148	0.1118097977
149	0.111762799
150	0.1117093597
151	0.1116603462
152	0.1116197546
153	0.1115687196
154	0.1114800682
155	0.1114310345
156	0.111410235
157	0.1113445994
158	0.1113401467
159	0.1112720261
160	0.1111998625
161	0.111148035
162	0.1111014729
163	0.1110584165
164	0.1110249036
165	0.110993748
166	0.1109095829
167	0.1108782661
168	0.1107871566
169	0.1107332471
170	0.1106501834
171	0.1106167175
172	0.1105886782
173	0.1105250103
174	0.1104180309
175	0.1103648333
176	0.1103299571
177	0.1103131469
178	0.110292972
179	0.1102513327
180	0.1102470613
181	0.1101784908
182	0.1101429496
183	0.1101297661
184	0.1101060921
185	0.1100714442
186	0.1100306847
187	0.1099378223
188	0.1099150214
189	0.1098868142
190	0.1098661893
191	0.1097513924
192	0.1096406856
193	0.1094746187
194	0.1094528521
195	0.1093863836
196	0.109362065
197	0.1093498418
198	0.1093288945
199	0.1092795117
200	0.1092647432
201	0.1091081794
202	0.1090853046
203	0.1090605964
204	0.108994316
205	0.1089026223
206	0.1088475308
207	0.1087086772
208	0.108655352
209	0.1086341159
210	0.108488506
211	0.1083924468
212	0.1083778059
213	0.108358081
214	0.1083383426
215	0.1082033305
216	0.1081901268
217	0.1081820609
218	0.1081675006
219	0.108150912
220	0.10805764
221	0.1079943751
222	0.1079698616
223	0.1079414798
224	0.1078714586
225	0.1077206034
226	0.1077033365
227	0.1076874196
228	0.1076664589
229	0.1076504613
230	0.1076315154
231	0.1075130449
232	0.107456711
233	0.1074421238
234	0.1074308342
235	0.1074061662
236	0.1073872875
237	0.1073659239
238	0.1073425051
239	0.1072659963
240	0.1072086683
241	0.1071849675
242	0.10714856
243	0.107129641
244	0.1069767643
245	0.1069607802
246	0.1069100944
247	0.1068032627
248	0.1067876547
249	0.1066445364
250	0.1066260002
251	0.1066095728
252	0.106591359
253	0.1065468855
254	0.1064948968
255	0.1063746063
256	0.1062802261
257	0.106260434
258	0.1062444163
259	0.1061239175
260	0.1061073357
261	0.1059227729
262	0.1058813955
263	0.1057450066
264	0.1057014264
265	0.1055837013
266	0.1054629742
267	0.1053608706
268	0.1052699156
269	0.1051360856
270	0.1050069567
271	0.1049147727
272	0.1048207014
273	0.1047177113
274	0.1047011698
275	0.104589019
276	0.104487305
277	0.1043562419
278	0.1042118475
279	0.1041692411
280	0.1040819061
