iter	MultiClass
0	1.215037769
1	1.076733277
2	0.990605725233	0.916920618744	0.8636307875	5	0.8127344366	6	0.766350127	07	0.731637588	08	0.697939659	9	0.6703280431010	0.6434206831111	0.6177655871212	0.6013340481313	0.5845118061414	0.5675517611515	0.5579323161616	0.5406247761717	0.5239974691818	0.5105164841919	0.50135040220	0.4743694829
221	0.474071236
22	0.4602862727
23	0.4415674288
24	0.4318520171
25	0.4213284752626	0.411260481
27	0.3997876744
28	0.3924417774
29	0.3829366151
30	0.37468112
31	0.3671430926
32	0.3584241946
33	0.3511353604
34	0.341129951
35	0.3345310741
36	0.3280857721
37	0.325967629
38	0.3203437945
39	0.3139953474
40	0.3068974197
41	0.3006274272
42	0.2943642438
43	0.2903098536
44	0.2856868761
45	0.2804843151
46	0.2742298537
47	0.2695501233
48	0.2660013546
49	0.2621885401
50	0.2575861183551	0.2536573255552	0.249016435553	0.246964714154	0.2474177347
55	0.2434700651
56	0.2393240002
57	0.2365048255
58	0.2327866459
59	0.2301774947
60	0.2280072234
61	0.2246699431
62	0.2217448982
63	0.2191201558
64	0.2150254455
65	0.2121316968
66	0.2091358744
67	0.2072731542
68	0.2052223215
69	0.2030916353
70	0.1986097111
71	0.1965966053
72	0.1927597197
73	0.1892256767
74	0.1862575693
75	0.1842360324
76	0.1818528646
77	0.1802673663
78	0.1771653755
79	0.1756163502
80	0.1738244694
81	0.1710405149
82	0.1695319811
83	0.1679846965
84	0.1652579589
85	0.1641376993
86	0.1627032417
87	0.1613854925
88	0.1599690052
89	0.158061749
90	0.1568029081
91	0.1549502783
92	0.1538903796
93	0.1515916758
94	0.1494760118
95	0.1477641439
96	0.1464172855
97	0.1443121708
98	0.1431484711
99	0.1416719264
100	0.1391870197
101	0.137245296
102	0.1354554511
103	0.1345188452
104	0.1332416712
105	0.1315737407
106	0.1297499897
107	0.1280028685
108	0.1271062533
109	0.1262425109
110	0.1242632833
111	0.1234154553
112	0.1224461676
113	0.1213269912
114	0.1197694423
115	0.1190550836
116	0.1180208504
117	0.1173585219
118	0.1157424872
119	0.1146628696
120	0.1131857173
121	0.1115202007
122	0.110404478
123	0.1097926616
124	0.1092171174
125	0.1080972356
126	0.1074182531
127	0.1069478087
128	0.1060619646
129	0.1051906755
130	0.1043951497
131	0.1031857312
132	0.1024002442
133	0.1015717319
134	0.1007927033
135	0.09983711697
136	0.0989438882
137	0.09815548057
138	0.0976018546
139	0.09680383142
140	0.09566539573
141	0.09471848536
142	0.09398576663
143	0.09281682577
144	0.09214526128
145	0.09137463454
146	0.08992685304
147	0.08917929594
148	0.0884824484
149	0.08755829443
150	0.08709541143
151	0.08665935166
152	0.08593184
153	0.08561354937
154	0.08514254668
155	0.08461300189
156	0.08393624623
157	0.08327033249
158	0.08251699049
159	0.08216884493
160	0.0816146211
161	0.08105325302
162	0.07955241969
163	0.07884725826
164	0.07794095431
165	0.07747643125
166	0.07674674403
167	0.07634760526
168	0.07579830507
169	0.07552727774
170	0.07469860807
171	0.07439207985
172	0.07340023612
173	0.07271480079
174	0.07228186667
175	0.07176583145
176	0.07113522715
177	0.07073423236
178	0.07032747967
179	0.06944783282
180	0.06866610676
181	0.06792581813
182	0.06721933715
183	0.0668206161
184	0.06634560505
185	0.06619739229
186	0.06572253408
187	0.06540895839
188	0.06481545595
189	0.0644352676
190	0.06420817495
191	0.0636514573
192	0.06310546455
193	0.06286110608
194	0.06214712365
195	0.06171833891
196	0.06127757778
197	0.06100296611
198	0.06063329775
199	0.06012133295
200	0.05975591104
201	0.05944410225
202	0.05886604047
203	0.05852418042
204	0.05802692019
205	0.05765314245
206	0.057217891
207	0.05667149726
208	0.05639669711
209	0.05611044319
210	0.05571871243
211	0.05529454633
212	0.05489028969
213	0.05429827605
214	0.05397553045
215	0.05371521839
216	0.05334911767
217	0.05269554026
218	0.05232219178
219	0.05213435095
220	0.05166572038
221	0.05122325746
222	0.0509960065
223	0.05078608647
224	0.05047267093
225	0.05019289653
226	0.04997507337
227	0.04965563458
228	0.04914094685
229	0.04897188999
230	0.04861674539
231	0.0483765712
232	0.0482064854
233	0.04798224512
234	0.04770296984
235	0.04744649715
236	0.04730261845
237	0.04704165572
238	0.04684524577
239	0.04657440141
240	0.04618482164
241	0.04597079114
242	0.04582756626
243	0.04569308478
244	0.04540043531
245	0.04515181269
246	0.04502972902
247	0.04481513376
248	0.04469399479
249	0.04427077691
250	0.04409234312
251	0.04390184552
252	0.04365574178
253	0.04321413418
254	0.04305060749
255	0.04284915294
256	0.04268322243
257	0.04250274592
258	0.04218984263
259	0.04205848013
260	0.04188642832
261	0.04159109698
262	0.04145101192
263	0.0413020992
264	0.0411149472
265	0.04099785533
266	0.04076561996
267	0.04068914176
268	0.04049723921
269	0.04031228523
270	0.04014672321
271	0.04001559673
272	0.03991209167
273	0.03968752241
274	0.03949089085
275	0.03932892877
276	0.03924413968
277	0.039108181
278	0.03900960706
279	0.03884491402
280	0.0387321716
281	0.03839335966
282	0.0382044157
283	0.03795863551
284	0.03774593003
285	0.03758924364
286	0.03746057868
287	0.03740160437
288	0.03707365815
289	0.0368356863
290	0.03671320645
291	0.03660635899
292	0.03624442127
293	0.03605396024
294	0.03587633479
295	0.03570620146
296	0.03550800791
297	0.03544905566
298	0.03533779965
299	0.03518646453
84855
3551
